
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 475 	 12.340595 	 -17.090446 	 10.160000 
 476 	 10.760830 	 -18.128152 	 10.160000 
 477 	 9.093398 	 -19.018200 	 10.160000 
 478 	 7.353181 	 -19.755863 	 10.160000 
 479 	 5.554454 	 -20.336449 	 10.160000 
 480 	 3.710508 	 -20.751625 	 10.160000 
 481 	 1.836768 	 -20.999821 	 10.160000 
 482 	 -0.051587 	 -21.081141 	 10.160000 
 483 	 -1.939577 	 -20.991679 	 10.160000 
 484 	 -3.811847 	 -20.732622 	 10.160000 
 485 	 -5.653813 	 -20.308764 	 10.160000 
 486 	 -7.450277 	 -19.721206 	 10.160000 
 487 	 -9.186258 	 -18.973629 	 10.160000 
 488 	 -10.849112 	 -18.075062 	 10.160000 
 489 	 -12.425019 	 -17.031500 	 10.160000 
 490 	 -13.899787 	 -15.849316 	 10.160000 
 491 	 -15.263556 	 -14.540637 	 10.160000 
 492 	 -16.505410 	 -13.115752 	 10.160000 
 493 	 -17.612775 	 -11.584002 	 10.160000 
 494 	 -18.579294 	 -9.959706 	 10.160000 
 495 	 -19.397865 	 -8.256049 	 10.160000 
 496 	 -20.058438 	 -6.485131 	 10.160000 
 497 	 -20.558086 	 -4.662262 	 10.160000 
 498 	 -20.894296 	 -2.802298 	 10.160000 
 499 	 -21.060763 	 -0.919536 	 10.160000 
 500 	 -21.057580 	 0.970570 	 10.160000 
 501 	 -20.887044 	 2.852966 	 10.160000 
 502 	 -20.547558 	 4.712335 	 10.160000 
 503 	 -20.041840 	 6.533530 	 10.160000 
 504 	 -19.376743 	 8.302752 	 10.160000 
 505 	 -18.555680 	 10.005210 	 10.160000 
 506 	 -17.583926 	 11.626382 	 10.160000 
 507 	 -16.472164 	 13.154939 	 10.160000 
 508 	 -15.228418 	 14.578176 	 10.160000 
 509 	 -13.860673 	 15.882698 	 10.160000 
 510 	 -12.382347 	 17.060430 	 10.160000 
 511 	 -10.805188 	 18.102098 	 10.160000 
 512 	 -9.139943 	 18.996222 	 10.160000 
 513 	 -7.401590 	 19.738275 	 10.160000 
 514 	 -5.604307 	 20.323314 	 10.160000 
 515 	 -3.761260 	 20.742455 	 10.160000 
 516 	 -1.888106 	 20.995043 	 10.160000 
 517 	 0.000000 	 21.082000 	 10.160000 
 518 	 2.522756 	 20.924255 	 10.160000 
 519 	 5.010186 	 20.474945 	 10.160000 
 520 	 7.425868 	 19.730864 	 10.160000 
 521 	 9.731919 	 18.695822 	 10.160000 
 522 	 11.901069 	 17.398143 	 10.160000 
 523 	 13.899769 	 15.850766 	 10.160000 
 524 	 15.694456 	 14.070798 	 10.160000 
 525 	 17.267837 	 12.092503 	 10.160000 
